fold,family,n_runs,n_lipids,r2_mean,r2_median,corr_mean,corr_median,rmse_mean,rmse_median,mae_mean,mae_median
FOLD-1,manifold,19,3287,0.4089727484277267,0.4070736228278818,0.6382983745183984,0.6495340786717062,0.0005577069844464504,0.0001740545112848,0.0004018368976761102,0.0001195511709045
FOLD-1,spectral,34,5882,0.4050971435134628,0.4014133915927245,0.6347903377765431,0.6495752776678952,0.0005596699476056986,0.00017342125433234999,0.0004045409633186768,0.00011961944300605001
FOLD-1,lgp,8,1384,0.36433509729549757,0.3668497332359236,0.62702998395067,0.6399874905527592,0.0005771425679431354,0.00018395271125939999,0.0004105538409067874,0.00012288584638545
FOLD-1,gplfr,3,519,0.3161702613586154,0.3111175718738149,0.5576980655111424,0.5703471928622775,0.0005966474941206296,0.0001898636214164,0.000443214403631656,0.0001358026207457
FOLD-1,sota,11,1903,0.16296099423724805,0.2881752053138834,0.5440235234001503,0.5830071789869445,0.0006502609719036826,0.0002066716330848,0.0004799668857846379,0.0001515773683456
FOLD-1,baseline,16,2768,0.2629913144139939,0.2565549724861923,-inf,0.5433143543960443,0.0006190046348229441,0.00019898174296025,0.0004642445703549107,0.00014989270089675
FOLD-1,sota-deepspatial,3,519,-31.942893085527373,-2.452326062142745,0.056475471030460814,0.0528743815604525,0.001272167782086367,0.0005572996329893,0.000964956234976274,0.0004100119941296
FOLD-2,spectral,34,5882,0.40713680079855447,0.4017550286492415,0.6333087243182574,0.6412620248121034,0.0005721706404217352,0.00018117574860895,0.0004169872010662381,0.0001238626592454
FOLD-2,manifold,31,5363,0.4020021010363679,0.3990245003083336,0.6301802710303339,0.639004984961923,0.0005737929893219037,0.0001819849960089,0.0004163292059847654,0.0001243245060016
FOLD-2,lgp,8,1384,0.36371307310635004,0.36418908104782477,0.6206283960343746,0.6305208787278429,0.0005920528796210735,0.00018997762343765,0.00042565546705859985,0.00012924644044195
FOLD-2,gplfr,3,519,0.29936886366626453,0.2961332105971003,0.541129621995886,0.5540098242243374,0.0006194687503120192,0.0001982922922133,0.00046349776194331063,0.0001434832788666
FOLD-2,sota,11,1903,0.15830025389569888,0.2811258232177407,0.5307538059890985,0.564678007639225,0.0006676449716102905,0.0002151307882413,0.0004950039106987386,0.0001560261752547
FOLD-2,baseline,16,2768,0.25257517874352176,0.2374858258731398,inf,0.5238588140926081,0.0006398835811274344,0.0002087842857086,0.00048119348362758854,0.00015419862400285002
FOLD-2,sota-deepspatial,3,519,-11.779292497668536,-1.006472561482782,0.09387721542588547,0.0834852694094794,0.000990290933071443,0.0005066334473409,0.000738088254640615,0.0003701244634565
FOLD-3,manifold,19,3287,0.36547971672199075,0.3524125237748833,0.6137870113363879,0.6195799437485522,0.0005859521658006116,0.0001905213796378,0.0004222084023279097,0.000130323695178
FOLD-3,spectral,34,5882,0.3599831416465009,0.3477412928750536,0.608713781902579,0.6144395844398896,0.0005899673375473771,0.000190429504221,0.00042734761619636917,0.0001308986393406
FOLD-3,lgp,8,1384,0.3148324353589884,0.31535344934656706,0.6043667526964114,0.6154259513331228,0.0006074511145288951,0.000193776486087,0.00043325236489654795,0.0001334665107691
FOLD-3,gplfr,3,519,0.2807505566477818,0.2770768224786318,0.5335478812450827,0.5473856051630499,0.0006208386892245411,0.0001955275135681,0.00046121498996810103,0.0001394387847037
FOLD-3,sota,11,1903,0.1382356579542424,0.2507394472842749,0.5237166855551109,0.5586014579369871,0.000668796323217244,0.0002115015099201,0.0004911908275358563,0.0001527098877872
FOLD-3,baseline,16,2768,0.23171996727875419,0.21021742995796486,inf,0.5165425206512673,0.0006430769995070034,0.0002055542847464,0.00048025015073942516,0.0001524421055943
FOLD-3,sota-deepspatial,3,519,-5.057320594749654,-0.9343671579589924,0.09162041495206913,0.0809090940779872,0.0009502072034282611,0.0004165100045322,0.0007240076279696874,0.0003210133814404
FOLD-4,spectral,34,5882,0.3498934353997893,0.3392031063604396,0.5907415529993794,0.5961109748010256,0.0006315367149799273,0.00019558521900689998,0.0004591166469882131,0.00013901703366459998
FOLD-4,manifold,19,3287,0.3357757957692522,0.3256270540408066,0.5809350452275602,0.5858623162609796,0.0006371071128922732,0.0001973348169498,0.000461847099549426,0.0001399454644368
FOLD-4,lgp,8,1384,0.31419455639976257,0.312285086264645,0.5784717617807694,0.5849886057399263,0.0006491477442121157,0.0002031989284382,0.00046556013069867314,0.00014086328847425
FOLD-4,gplfr,3,519,0.27351758145251664,0.2694174419726189,0.5184280082136262,0.5273305402723474,0.0006634722893969961,0.000209206352759,0.0004954125214967285,0.0001498587275183
FOLD-4,sota,11,1903,0.12245489125771657,0.2437385564082318,0.5028884484170063,0.5311632320543226,0.0007137806495688242,0.0002274989975005,0.0005293825611186563,0.0001614137635398
FOLD-4,baseline,16,2768,0.21384082682473818,0.1939998635826446,0.45275572464416763,0.4870199820016437,0.0006920366444361138,0.00021915737740775,0.0005181372593787071,0.0001561871733089
FOLD-4,sota-deepspatial,3,519,-20.013587874212178,-0.2672858875651407,0.2503313231155152,0.244487801313389,0.0007649291658629522,0.0003272759009502,0.0005550758093738549,0.0002246921646353
FOLD-5,spectral,34,5882,0.28838796474673545,0.271133882038436,0.5543465889516188,0.5533040529354755,0.0006493758900358667,0.00020252618577089998,0.00048038529203257147,0.0001530879393776
FOLD-5,manifold,19,3287,0.2839800557045173,0.2697785778297926,0.550010532674613,0.5512273920319307,0.0006509242972060109,0.000201325992108,0.00047729144431988055,0.000152735804173
FOLD-5,lgp,8,1384,0.27281360550285483,0.2645920100422974,0.5456530498631951,0.5436435424538177,0.0006550516955998295,0.0002056768629999,0.00047665098677238696,0.0001506988580787
FOLD-5,gplfr,3,519,0.2214994962894837,0.2180044762445152,0.4805569554826026,0.4898910550561939,0.0006792474151372474,0.0002235079604307,0.0005110193896359416,0.0001566621665875
FOLD-5,sota,11,1903,0.06909464621319603,0.2004588716982093,0.47710136337978915,0.50486331659169,0.0007271320907062543,0.0002326838656687,0.0005482446760520728,0.0001723487204965
FOLD-5,baseline,16,2768,0.12913492192372122,0.13195187548592754,inf,0.4413657965346791,0.0007108613082458808,0.0002308866095783,0.0005319874440266438,0.00016624516838980002
FOLD-5,sota-deepspatial,3,519,-1.957379404092451,-0.5978540910367725,0.16078000065541362,0.1541521547188082,0.0007354024187612785,0.0003181600040298,0.0005521757689964726,0.0002374949906368
FOLD-6,spectral,34,5882,0.4042934697170209,0.40411456339517454,0.630261988412354,0.6432927372858901,0.0005738172104071244,0.00017924826819280002,0.0004194364878531922,0.00012646065482095002
FOLD-6,manifold,19,3287,0.39994763662187244,0.4026553665460027,0.6279277472994946,0.6416537760242466,0.0005753141367590385,0.0001815235436559,0.0004197062144593105,0.0001268703262243
FOLD-6,lgp,8,1384,0.37052127133680357,0.37276810045081676,0.6201251593283147,0.6327405774954858,0.0005894330528115933,0.0001875166096152,0.0004267017157119499,0.00012879277378845
